"","rule.data.num.1","rule.data.num.2","rule.data.num.3","rule.data.num.4","rule.data.num.5","rule.data.num.6","rule.data.num.7","rule.data.num.8","rule.data.num.9","rule.data.num.10"
"189",1,10,13,17,22,29,33,39,43,48
"190",1,10,13,17,23,29,34,39,43,49
"191",1,10,13,17,24,29,33,39,44,49
"192",1,10,13,19,24,29,34,39,43,50
"193",1,10,14,20,24,29,34,39,44,49
"194",1,10,12,18,24,29,34,39,44,48
"195",1,10,12,17,24,28,34,39,43,50
"196",1,10,13,16,25,28,34,39,44,49
"197",1,10,13,18,24,28,33,39,43,49
"198",1,10,13,20,25,29,34,39,44,49
"199",1,10,12,17,24,29,33,39,43,48
"200",1,10,13,17,22,28,34,39,43,49
"201",1,10,12,19,25,29,34,39,44,49
"202",1,10,13,16,25,29,34,39,44,48
"203",1,10,13,18,24,29,34,38,43,48
"204",1,10,12,16,22,28,34,38,43,48
"205",1,10,12,17,23,29,34,39,43,48
"206",1,10,12,18,22,29,34,39,43,48
"207",1,10,13,16,23,29,34,39,43,48
"208",1,10,12,16,25,29,34,39,44,48
"209",1,10,13,18,24,29,34,39,43,50
"210",1,10,13,16,24,29,33,39,43,48
"211",1,10,13,19,24,28,33,38,44,49
"212",1,10,13,16,22,29,33,39,43,49
"213",1,10,13,16,22,29,34,39,44,49
"214",1,10,12,20,24,29,34,39,44,49
"215",1,10,13,16,25,29,34,39,43,48
"216",1,10,12,17,24,28,34,39,43,48
"217",1,10,13,19,24,30,34,40,44,50
"218",1,10,13,18,25,28,33,38,43,48
"219",1,10,12,17,24,29,34,38,43,48
"220",1,10,13,16,22,28,34,38,43,49
"221",1,10,12,16,24,28,34,39,43,48
"222",1,10,12,17,24,28,33,38,43,48
"223",1,10,13,16,23,29,34,39,44,50
"224",1,10,13,19,24,30,35,40,45,50
"225",1,10,12,18,22,28,33,39,43,49
"226",1,10,13,17,22,28,34,39,44,49
"227",1,10,12,16,25,29,33,39,43,48
"228",1,10,13,20,24,30,34,40,44,49
"229",1,10,13,18,24,30,34,40,44,50
"230",1,10,12,16,22,29,33,38,43,48
"231",1,10,12,16,23,28,34,39,43,49
"232",1,10,13,19,24,29,33,39,43,49
"233",1,10,12,16,24,28,34,39,44,48
"234",1,10,13,16,25,28,34,39,43,48
"235",1,10,13,20,24,30,34,39,44,50
"236",1,10,13,17,25,29,34,38,43,49
"237",1,10,13,17,22,29,33,39,42,48
"238",1,10,12,18,25,29,34,38,43,48
"239",1,10,13,17,25,29,33,39,44,49
"240",1,10,13,19,24,29,34,40,44,50
"241",1,10,12,18,22,29,33,39,43,49
"242",1,10,13,19,24,29,34,39,44,48
"243",1,10,13,17,25,28,34,39,43,49
"244",1,10,13,17,24,29,34,39,45,50
"245",1,10,13,20,24,30,34,39,45,50
"246",1,10,12,16,24,29,34,39,44,48
