"","rule.data.num.1","rule.data.num.2","rule.data.num.3","rule.data.num.4","rule.data.num.5","rule.data.num.6","rule.data.num.7","rule.data.num.8","rule.data.num.9","rule.data.num.10"
"215",2,14,18,23,31,39,46,54,60,67
"216",2,14,17,26,34,40,47,54,60,68
"217",2,14,18,23,32,39,46,54,60,68
"218",1,14,18,23,34,41,48,55,62,69
"219",1,14,18,25,31,40,47,55,60,67
"220",1,14,18,24,34,40,46,54,60,68
"221",1,14,17,24,34,40,47,54,61,69
"222",1,14,18,23,34,40,47,55,60,67
"223",2,14,18,22,32,40,47,54,61,68
"224",2,14,18,23,34,40,47,54,61,67
"225",2,14,18,24,32,39,47,54,60,68
"226",1,14,18,25,34,41,48,55,61,68
"227",2,14,17,25,35,40,47,54,61,68
"228",1,14,18,24,34,40,48,55,61,67
"229",2,14,18,23,31,40,47,54,60,68
"230",1,14,18,25,34,40,47,54,60,68
"231",1,14,17,26,34,40,47,54,61,69
"232",2,14,18,24,34,41,47,54,61,68
"233",2,14,18,27,34,39,46,54,60,67
"234",1,14,18,27,34,39,47,55,60,68
"235",1,14,18,26,34,40,47,55,60,68
"236",1,14,17,25,34,40,47,54,61,68
"237",1,14,18,24,34,40,47,55,61,68
"238",1,14,18,23,32,39,46,54,60,67
"239",2,14,18,25,34,39,47,54,61,67
"240",1,14,18,24,31,40,47,54,61,67
"241",1,14,17,22,34,41,48,55,62,68
"242",2,14,20,23,34,40,47,54,61,67
"243",1,14,17,25,34,40,47,55,61,68
"244",2,14,17,22,31,40,47,54,61,67
"245",2,14,17,22,32,39,46,54,60,67
"246",1,14,17,25,35,40,47,54,61,67
"247",1,14,17,22,32,40,47,54,60,68
"248",2,14,17,24,31,41,47,55,61,68
"249",2,14,18,26,34,41,48,55,61,69
"250",2,14,18,22,34,41,48,55,61,69
"251",1,14,18,25,31,39,47,54,60,67
"252",1,14,18,23,34,39,47,54,62,67
"253",2,14,17,24,31,41,48,55,61,67
"254",1,14,18,24,34,41,47,55,62,69
"255",2,14,18,25,34,41,48,55,61,68
"256",2,14,18,25,34,40,47,54,61,67
"257",2,14,17,22,35,40,47,54,60,68
"258",2,14,18,25,34,41,47,54,60,68
"259",2,14,20,24,34,41,47,54,61,68
"260",1,14,18,22,31,39,47,54,61,67
"261",1,14,17,23,31,40,47,55,62,68
"262",2,14,17,27,34,40,47,54,60,67
"263",1,14,18,28,34,41,48,55,60,68
"264",2,14,18,22,34,40,47,55,61,69
"265",2,14,18,24,34,41,48,55,61,69
"266",1,14,18,24,34,41,47,55,62,68
"267",1,14,18,23,34,41,47,55,61,68
"268",1,14,17,23,34,41,47,54,60,67
"269",1,14,18,25,34,41,47,55,61,68
"270",1,14,17,24,34,40,47,54,61,68
"271",1,14,17,25,34,41,47,55,61,68
"272",1,14,18,23,35,39,47,54,61,68
"273",1,14,18,26,34,40,47,55,61,68
"274",2,14,18,22,31,39,47,54,60,67
"275",1,14,18,25,34,41,48,55,62,70
"276",2,14,18,23,31,40,47,55,60,68
"277",1,14,17,25,34,41,48,55,61,70
"278",1,14,18,26,35,41,48,55,62,70
"279",1,14,18,28,34,41,48,55,60,69
"280",1,14,18,27,34,40,48,55,61,68
